Pin Name,Pin_#,Latitude,Longitude,Height
10m,pin_1,-26.631435634645,15.09402401111,0
10m,pin_2,-26.63264737228515,15.09521041446512,0
10m,pin_3,-26.63349853806273,15.09581526123121,0
10m,pin_4,-26.63419936838437,15.09644019392688,0
10m,pin_5,-26.63498406895806,15.09768037824363,0
10m,pin_6,-26.63538944050361,15.09860494099065,0
10m,pin_7,-26.63588017075746,15.09978878719743,0
10m,pin_8,-26.63585144890166,15.10062395608346,0
10m,pin_9,-26.63576501892223,15.10136028676046,0
10m,pin_10,-26.63536087987348,15.10243855348424,0
10m,pin_11,-26.63504268792351,15.10471636527739,0
10m,pin_12,-26.63504278892304,15.1063615402497,0
10m,pin_13,-26.63492689983808,15.10722975584816,0
10m,pin_14,-26.63501390054821,15.10836098498867,0
10m,pin_15,-26.63504290522671,15.10987770887392,0
10m,pin_16,-26.63466584453879,15.11384443029639,0
10m,pin_17,-26.63414217637976,15.11497538495784,0
10m,pin_18,-26.63425866273446,15.11646288296079,0
10m,pin_19,-26.63311869761436,15.11913122737084,0
10m,pin_20,-26.63279554119135,15.12095552540615,0
10m,pin_21,-26.63253062059357,15.122456897481,0
10m,pin_22,-26.63090243546204,15.12347861146066,0
10m,pin_23,-26.62955757256042,15.12351667359128,0
10m,pin_24,-26.62759426097374,15.12416694146691,0
10m,pin_25,-26.62480363518243,15.12508458510741,0
10m,pin_26,-26.62296708523145,15.12534646618623,0
